Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
38563,XII - SOCCSKSARGEN,36659,Male,38,Single Family,4,11,1,1,0
36794,XII - SOCCSKSARGEN,42276,Male,44,Extended Family,4,12,15,1,0
81661,XII - SOCCSKSARGEN,42899,Male,34,Single Family,3,23,4,2,1
112134,XII - SOCCSKSARGEN,89211,Male,65,Single Family,4,54,11,2,1
121239,XII - SOCCSKSARGEN,73215,Male,42,Single Family,5,13,5,1,1
59823,XII - SOCCSKSARGEN,22725,Female,75,Single Family,2,36,8,2,1
352715,XII - SOCCSKSARGEN,164247,Male,47,Single Family,7,61,13,2,1
67673,XII - SOCCSKSARGEN,86798,Male,35,Single Family,4,32,9,2,1
155986,XII - SOCCSKSARGEN,96062,Male,40,Single Family,7,30,5,2,1
30984,XII - SOCCSKSARGEN,17634,Male,43,Single Family,1,14,36,2,0
102094,XII - SOCCSKSARGEN,88464,Male,50,Single Family,3,32,18,1,1
94860,XII - SOCCSKSARGEN,70657,Male,36,Single Family,3,40,20,3,0
113145,XII - SOCCSKSARGEN,55736,Male,43,Single Family,8,11,14,1,0
26156,XII - SOCCSKSARGEN,14536,Male,61,Single Family,1,11,15,0,0
73833,XII - SOCCSKSARGEN,52619,Male,44,Single Family,8,17,15,2,0
126850,XII - SOCCSKSARGEN,51960,Male,52,Single Family,5,20,6,3,0
120264,XII - SOCCSKSARGEN,75461,Male,36,Single Family,8,39,20,1,1
250337,XII - SOCCSKSARGEN,104812,Male,64,Single Family,6,43,25,3,1
679559,XII - SOCCSKSARGEN,85520,Female,47,Extended Family,3,80,17,4,1
182653,XII - SOCCSKSARGEN,74699,Male,34,Single Family,4,14,6,0,1
107688,XII - SOCCSKSARGEN,39208,Male,65,Single Family,2,16,15,0,1
161416,XII - SOCCSKSARGEN,66351,Male,46,Single Family,5,21,11,2,1
286580,XII - SOCCSKSARGEN,76277,Male,45,Single Family,4,37,10,2,1
194274,XII - SOCCSKSARGEN,79064,Male,30,Single Family,5,39,7,2,1
175259,XII - SOCCSKSARGEN,63705,Male,47,Single Family,4,32,16,3,1
104619,XII - SOCCSKSARGEN,87797,Male,42,Single Family,7,17,6,0,1
110462,XII - SOCCSKSARGEN,49302,Male,23,Extended Family,5,14,13,0,1
92668,XII - SOCCSKSARGEN,52988,Male,40,Single Family,5,18,15,1,0
119139,XII - SOCCSKSARGEN,65162,Male,55,Single Family,1,17,12,1,1
251470,XII - SOCCSKSARGEN,78947,Male,32,Extended Family,12,20,5,2,1
124395,XII - SOCCSKSARGEN,50703,Male,21,Single Family,3,48,45,3,1
202015,XII - SOCCSKSARGEN,87203,Male,50,Extended Family,6,28,10,2,1
422470,XII - SOCCSKSARGEN,193902,Male,33,Extended Family,7,48,24,3,1
82538,XII - SOCCSKSARGEN,115761,Male,53,Single Family,4,28,22,2,1
125988,XII - SOCCSKSARGEN,76938,Male,49,Single Family,6,30,16,2,1
152515,XII - SOCCSKSARGEN,80291,Female,46,Extended Family,7,36,22,3,1
130867,XII - SOCCSKSARGEN,88549,Male,37,Single Family,4,11,1,0,1
207137,XII - SOCCSKSARGEN,143344,Male,63,Extended Family,4,43,41,3,1
68521,XII - SOCCSKSARGEN,63614,Female,43,Single Family,6,11,45,2,1
142322,XII - SOCCSKSARGEN,76503,Male,46,Single Family,3,30,20,2,1
169756,XII - SOCCSKSARGEN,89673,Male,37,Single Family,4,28,37,2,1
117655,XII - SOCCSKSARGEN,103418,Male,41,Single Family,4,18,19,1,1
166134,XII - SOCCSKSARGEN,82943,Male,49,Single Family,5,25,4,2,1
110826,XII - SOCCSKSARGEN,70905,Male,50,Single Family,5,36,13,3,1
64459,XII - SOCCSKSARGEN,50686,Male,70,Extended Family,8,14,5,1,0
73883,XII - SOCCSKSARGEN,42602,Male,62,Extended Family,6,11,16,1,0
89178,XII - SOCCSKSARGEN,60239,Male,37,Single Family,7,18,2,1,1
238821,XII - SOCCSKSARGEN,222652,Male,49,Extended Family,12,47,21,4,1
71190,XII - SOCCSKSARGEN,50687,Male,30,Single Family,8,24,13,1,0
50102,XII - SOCCSKSARGEN,37111,Male,28,Single Family,6,9,4,1,0
183146,XII - SOCCSKSARGEN,82006,Female,42,Single Family,8,12,0,1,0
98430,XII - SOCCSKSARGEN,41743,Male,72,Single Family,2,11,24,1,1
194890,XII - SOCCSKSARGEN,110213,Male,56,Extended Family,8,12,25,1,1
143080,XII - SOCCSKSARGEN,60613,Female,72,Single Family,3,12,35,1,1
107412,XII - SOCCSKSARGEN,63266,Male,67,Extended Family,5,29,43,2,1
96203,XII - SOCCSKSARGEN,59727,Male,59,Single Family,4,19,20,1,1
111976,XII - SOCCSKSARGEN,88791,Male,46,Extended Family,7,17,5,1,1
170659,XII - SOCCSKSARGEN,88696,Female,41,Extended Family,4,44,11,3,1
212285,XII - SOCCSKSARGEN,94260,Male,53,Single Family,4,22,3,2,1
111775,XII - SOCCSKSARGEN,58300,Male,34,Single Family,4,11,13,1,1
352239,XII - SOCCSKSARGEN,146323,Male,48,Extended Family,6,67,10,3,1
184083,XII - SOCCSKSARGEN,75624,Male,50,Single Family,7,16,15,2,0
107014,XII - SOCCSKSARGEN,78084,Male,37,Single Family,4,13,5,1,1
227565,XII - SOCCSKSARGEN,103003,Male,62,Single Family,5,28,13,2,1
95545,XII - SOCCSKSARGEN,49223,Male,33,Single Family,5,11,8,1,1
102614,XII - SOCCSKSARGEN,62689,Male,35,Two or More Nonrelated Persons/Members,5,27,2,2,1
152113,XII - SOCCSKSARGEN,55047,Male,77,Single Family,3,12,14,1,1
176275,XII - SOCCSKSARGEN,80392,Male,40,Single Family,3,25,11,1,1
724446,XII - SOCCSKSARGEN,187091,Male,48,Extended Family,5,65,22,3,1
147453,XII - SOCCSKSARGEN,89392,Male,50,Single Family,5,43,14,1,1
44775,XII - SOCCSKSARGEN,29669,Female,76,Single Family,1,44,37,3,1
147186,XII - SOCCSKSARGEN,123674,Male,36,Single Family,5,20,15,2,1
179840,XII - SOCCSKSARGEN,67538,Male,37,Single Family,7,20,15,2,1
109580,XII - SOCCSKSARGEN,55176,Male,50,Single Family,4,15,15,1,1
87379,XII - SOCCSKSARGEN,61354,Male,38,Single Family,6,20,14,2,1
149592,XII - SOCCSKSARGEN,56964,Male,50,Single Family,6,32,8,1,1
71660,XII - SOCCSKSARGEN,61298,Male,34,Single Family,6,20,10,1,1
166222,XII - SOCCSKSARGEN,65588,Male,56,Single Family,5,27,15,2,1
133380,XII - SOCCSKSARGEN,59887,Male,62,Single Family,6,20,15,2,1
63782,XII - SOCCSKSARGEN,40701,Male,55,Single Family,4,11,15,2,1
468838,XII - SOCCSKSARGEN,125425,Female,42,Single Family,8,20,23,2,1
421378,XII - SOCCSKSARGEN,70807,Male,54,Single Family,3,56,15,3,1
170569,XII - SOCCSKSARGEN,72954,Male,69,Single Family,9,10,14,1,1
119681,XII - SOCCSKSARGEN,41506,Male,23,Single Family,3,24,10,2,1
105207,XII - SOCCSKSARGEN,55693,Male,36,Single Family,4,30,35,2,1
62411,XII - SOCCSKSARGEN,43563,Male,36,Single Family,5,11,12,1,0
86980,XII - SOCCSKSARGEN,56911,Male,49,Single Family,4,8,10,1,1
72880,XII - SOCCSKSARGEN,47324,Male,47,Single Family,7,16,15,2,1
118280,XII - SOCCSKSARGEN,51263,Male,52,Single Family,7,20,14,2,1
151083,XII - SOCCSKSARGEN,81248,Male,40,Single Family,5,20,15,2,1
211454,XII - SOCCSKSARGEN,92661,Male,68,Single Family,3,20,55,2,1
232382,XII - SOCCSKSARGEN,126203,Female,45,Single Family,3,40,21,3,1
376062,XII - SOCCSKSARGEN,260048,Female,74,Extended Family,6,70,25,4,1
138292,XII - SOCCSKSARGEN,66084,Male,56,Extended Family,5,23,28,2,1
223810,XII - SOCCSKSARGEN,108525,Female,36,Extended Family,4,36,11,1,1
92693,XII - SOCCSKSARGEN,64573,Male,23,Single Family,3,100,50,2,1
139234,XII - SOCCSKSARGEN,132224,Male,54,Single Family,4,27,8,2,1
68093,XII - SOCCSKSARGEN,44068,Male,50,Single Family,2,10,6,1,1
323673,XII - SOCCSKSARGEN,80429,Male,50,Single Family,3,40,8,2,1
332132,XII - SOCCSKSARGEN,173937,Male,74,Single Family,7,10,47,1,1
81798,XII - SOCCSKSARGEN,44232,Male,67,Single Family,1,11,29,1,1
105410,XII - SOCCSKSARGEN,65541,Male,39,Single Family,4,80,15,3,1
53910,XII - SOCCSKSARGEN,22635,Female,73,Single Family,2,10,9,1,1
733138,XII - SOCCSKSARGEN,86420,Male,55,Single Family,3,36,20,4,1
80527,XII - SOCCSKSARGEN,86587,Male,38,Single Family,5,10,15,1,1
106114,XII - SOCCSKSARGEN,68935,Male,27,Single Family,2,32,6,3,1
82323,XII - SOCCSKSARGEN,68396,Male,82,Single Family,2,14,32,2,1
49431,XII - SOCCSKSARGEN,36488,Male,45,Single Family,4,14,20,1,0
187627,XII - SOCCSKSARGEN,49055,Male,22,Single Family,4,50,33,2,1
76468,XII - SOCCSKSARGEN,64029,Male,69,Single Family,2,22,12,2,0
49729,XII - SOCCSKSARGEN,58063,Female,50,Single Family,3,16,10,2,1
126278,XII - SOCCSKSARGEN,84466,Male,32,Single Family,7,7,5,1,0
148719,XII - SOCCSKSARGEN,94942,Male,43,Single Family,4,39,17,3,1
148341,XII - SOCCSKSARGEN,57714,Male,71,Single Family,4,41,15,4,1
182336,XII - SOCCSKSARGEN,55760,Male,54,Single Family,4,11,19,1,1
262167,XII - SOCCSKSARGEN,71434,Male,57,Single Family,4,16,16,4,1
55835,XII - SOCCSKSARGEN,65316,Male,74,Single Family,2,20,25,2,1
96115,XII - SOCCSKSARGEN,42157,Male,76,Single Family,4,27,25,2,1
439128,XII - SOCCSKSARGEN,130450,Male,60,Single Family,3,54,20,3,1
140613,XII - SOCCSKSARGEN,81689,Male,42,Single Family,6,9,17,0,1
67670,XII - SOCCSKSARGEN,51161,Male,64,Single Family,3,13,1,0,0
73809,XII - SOCCSKSARGEN,52118,Male,54,Single Family,7,13,11,1,0
310048,XII - SOCCSKSARGEN,106221,Male,26,Extended Family,5,76,30,3,1
365917,XII - SOCCSKSARGEN,179101,Male,72,Extended Family,6,78,43,3,1
290064,XII - SOCCSKSARGEN,98506,Male,62,Extended Family,10,54,26,2,1
82460,XII - SOCCSKSARGEN,66652,Female,25,Extended Family,5,19,30,1,1
258178,XII - SOCCSKSARGEN,89814,Male,40,Extended Family,6,72,15,1,1
121970,XII - SOCCSKSARGEN,68225,Male,32,Single Family,7,36,15,0,0
141264,XII - SOCCSKSARGEN,97735,Male,65,Single Family,5,11,17,2,1
50684,XII - SOCCSKSARGEN,31005,Female,53,Single Family,2,11,22,1,1
71568,XII - SOCCSKSARGEN,33939,Male,35,Single Family,5,35,15,2,1
72437,XII - SOCCSKSARGEN,43697,Male,25,Single Family,4,10,4,0,1
417979,XII - SOCCSKSARGEN,79653,Male,60,Single Family,7,26,8,2,1
118620,XII - SOCCSKSARGEN,91323,Male,58,Single Family,6,20,18,2,0
241092,XII - SOCCSKSARGEN,39665,Male,51,Single Family,3,37,18,2,1
184538,XII - SOCCSKSARGEN,87813,Male,54,Single Family,4,29,26,2,1
181136,XII - SOCCSKSARGEN,91315,Male,41,Single Family,6,10,17,1,1
70892,XII - SOCCSKSARGEN,23059,Male,47,Single Family,6,10,1,1,0
175020,XII - SOCCSKSARGEN,63335,Male,67,Single Family,5,75,36,2,1
223996,XII - SOCCSKSARGEN,43777,Male,52,Single Family,3,52,7,3,1
171649,XII - SOCCSKSARGEN,45730,Male,15,Single Family,3,40,4,3,1
143803,XII - SOCCSKSARGEN,108552,Male,55,Single Family,4,33,25,1,1
119178,XII - SOCCSKSARGEN,40751,Female,60,Extended Family,4,54,9,3,1
89337,XII - SOCCSKSARGEN,46761,Male,31,Single Family,6,32,8,2,0
48327,XII - SOCCSKSARGEN,133652,Female,63,Single Family,3,16,37,1,0
33494,XII - SOCCSKSARGEN,27868,Male,75,Extended Family,3,7,9,1,0
50386,XII - SOCCSKSARGEN,42891,Male,37,Single Family,6,29,5,1,0
60572,XII - SOCCSKSARGEN,37652,Male,52,Single Family,6,9,12,1,0
84882,XII - SOCCSKSARGEN,59044,Male,43,Single Family,8,23,14,3,0
103174,XII - SOCCSKSARGEN,81813,Male,45,Single Family,6,20,10,5,1
71522,XII - SOCCSKSARGEN,44321,Male,84,Extended Family,6,25,26,3,0
15204,XII - SOCCSKSARGEN,18707,Male,57,Single Family,1,11,17,1,0
43134,XII - SOCCSKSARGEN,48383,Male,41,Extended Family,6,29,2,2,1
86289,XII - SOCCSKSARGEN,98429,Male,32,Single Family,6,43,20,4,1
54152,XII - SOCCSKSARGEN,36185,Male,41,Two or More Nonrelated Persons/Members,6,11,9,1,0
54869,XII - SOCCSKSARGEN,27090,Male,74,Single Family,4,19,9,2,1
89659,XII - SOCCSKSARGEN,73089,Male,43,Single Family,5,9,11,2,0
165537,XII - SOCCSKSARGEN,63704,Male,54,Single Family,8,13,17,0,1
119786,XII - SOCCSKSARGEN,43005,Female,38,Single Family,3,39,13,2,1
305566,XII - SOCCSKSARGEN,96848,Female,68,Single Family,5,39,4,2,1
108014,XII - SOCCSKSARGEN,41692,Female,75,Extended Family,3,150,40,4,1
98147,XII - SOCCSKSARGEN,36161,Female,67,Extended Family,6,36,11,2,1
181887,XII - SOCCSKSARGEN,49306,Male,54,Single Family,4,20,26,1,1
130049,XII - SOCCSKSARGEN,77993,Male,48,Extended Family,7,180,14,2,1
118605,XII - SOCCSKSARGEN,28963,Male,67,Extended Family,4,360,23,2,1
60799,XII - SOCCSKSARGEN,31827,Male,81,Extended Family,4,168,27,2,1
260540,XII - SOCCSKSARGEN,106767,Male,63,Extended Family,8,180,37,3,1
67237,XII - SOCCSKSARGEN,43011,Male,56,Extended Family,4,27,17,3,1
168911,XII - SOCCSKSARGEN,59225,Male,71,Single Family,2,300,13,2,1
31422,XII - SOCCSKSARGEN,51288,Female,45,Single Family,3,29,10,1,0
111469,XII - SOCCSKSARGEN,74121,Male,49,Extended Family,11,32,8,4,1
153960,XII - SOCCSKSARGEN,103170,Male,46,Single Family,5,45,25,2,1
83128,XII - SOCCSKSARGEN,263148,Male,63,Extended Family,4,120,21,2,1
114633,XII - SOCCSKSARGEN,135701,Male,41,Single Family,5,120,13,1,1
178226,XII - SOCCSKSARGEN,79166,Female,41,Single Family,8,60,10,1,1
113280,XII - SOCCSKSARGEN,56580,Male,52,Single Family,6,43,3,3,1
63016,XII - SOCCSKSARGEN,77884,Male,43,Single Family,8,65,8,2,1
81804,XII - SOCCSKSARGEN,60008,Male,33,Extended Family,6,35,6,1,1
215743,XII - SOCCSKSARGEN,61159,Male,53,Extended Family,5,8,4,1,1
121762,XII - SOCCSKSARGEN,71445,Male,44,Single Family,4,22,7,1,1
116759,XII - SOCCSKSARGEN,100807,Male,71,Extended Family,4,11,11,1,1
166441,XII - SOCCSKSARGEN,145702,Male,59,Extended Family,6,100,16,2,1
70555,XII - SOCCSKSARGEN,150196,Male,29,Single Family,5,14,3,1,1
98923,XII - SOCCSKSARGEN,79027,Male,48,Single Family,4,11,14,2,1
38985,XII - SOCCSKSARGEN,32135,Female,70,Single Family,1,48,8,0,1
161345,XII - SOCCSKSARGEN,86562,Male,47,Extended Family,4,40,13,1,1
133197,XII - SOCCSKSARGEN,57757,Male,59,Extended Family,9,53,32,2,1
161220,XII - SOCCSKSARGEN,58655,Male,30,Single Family,6,30,6,1,1
100373,XII - SOCCSKSARGEN,44643,Male,69,Single Family,2,50,16,1,1
108018,XII - SOCCSKSARGEN,43447,Male,40,Single Family,4,50,4,1,1
160188,XII - SOCCSKSARGEN,71997,Male,60,Single Family,5,35,3,1,1
103036,XII - SOCCSKSARGEN,49071,Male,57,Extended Family,5,37,3,3,1
127083,XII - SOCCSKSARGEN,45175,Female,43,Single Family,3,29,20,2,1
278455,XII - SOCCSKSARGEN,67307,Male,73,Extended Family,6,53,9,3,1
184735,XII - SOCCSKSARGEN,85815,Male,65,Extended Family,4,37,2,2,1
921186,XII - SOCCSKSARGEN,119266,Male,52,Single Family,4,100,18,3,1
99252,XII - SOCCSKSARGEN,109906,Male,44,Extended Family,8,60,26,1,1
603358,XII - SOCCSKSARGEN,93544,Male,31,Single Family,4,100,3,2,1
94766,XII - SOCCSKSARGEN,100101,Male,54,Single Family,8,70,13,2,1
110789,XII - SOCCSKSARGEN,80236,Male,47,Single Family,8,40,9,1,0
228102,XII - SOCCSKSARGEN,81522,Male,63,Single Family,5,50,34,2,1
44426,XII - SOCCSKSARGEN,25438,Male,77,Extended Family,2,40,12,3,1
63951,XII - SOCCSKSARGEN,43197,Male,28,Single Family,3,40,5,1,1
214359,XII - SOCCSKSARGEN,77758,Male,37,Single Family,4,60,13,2,1
70178,XII - SOCCSKSARGEN,366716,Female,63,Single Family,2,70,25,4,1
94154,XII - SOCCSKSARGEN,75755,Male,49,Single Family,3,40,13,1,1
117000,XII - SOCCSKSARGEN,76639,Male,48,Single Family,5,40,15,2,1
146681,XII - SOCCSKSARGEN,66690,Male,50,Single Family,4,22,30,2,1
125100,XII - SOCCSKSARGEN,135280,Male,74,Extended Family,6,44,13,3,1
141645,XII - SOCCSKSARGEN,84876,Male,35,Single Family,4,18,8,1,1
711687,XII - SOCCSKSARGEN,117252,Male,48,Single Family,4,55,15,3,1
50129,XII - SOCCSKSARGEN,66705,Male,36,Single Family,6,26,7,1,1
196589,XII - SOCCSKSARGEN,71537,Male,63,Extended Family,3,18,50,2,1
86905,XII - SOCCSKSARGEN,71923,Male,41,Single Family,3,18,5,2,1
187567,XII - SOCCSKSARGEN,85113,Male,52,Single Family,4,46,20,2,1
153062,XII - SOCCSKSARGEN,116175,Male,34,Single Family,3,36,7,1,1
129479,XII - SOCCSKSARGEN,93746,Male,60,Single Family,5,21,13,1,1
83127,XII - SOCCSKSARGEN,44380,Male,39,Single Family,3,11,7,1,0
55207,XII - SOCCSKSARGEN,57637,Male,40,Single Family,4,16,10,1,1
64097,XII - SOCCSKSARGEN,49963,Male,36,Single Family,1,10,7,1,1
96698,XII - SOCCSKSARGEN,34699,Male,32,Single Family,3,22,5,1,1
145994,XII - SOCCSKSARGEN,36516,Female,90,Single Family,1,17,42,2,1
88255,XII - SOCCSKSARGEN,65779,Male,26,Single Family,3,28,5,2,1
311454,XII - SOCCSKSARGEN,162249,Male,75,Extended Family,9,40,43,4,1
102909,XII - SOCCSKSARGEN,48686,Male,44,Single Family,3,9,9,1,1
101824,XII - SOCCSKSARGEN,32551,Male,35,Single Family,4,15,6,1,1
242313,XII - SOCCSKSARGEN,71772,Male,51,Single Family,6,32,50,2,1
158485,XII - SOCCSKSARGEN,58957,Male,36,Single Family,6,15,13,1,1
119768,XII - SOCCSKSARGEN,46562,Male,51,Single Family,2,36,2,1,0
189214,XII - SOCCSKSARGEN,68015,Male,65,Extended Family,6,49,40,2,1
72435,XII - SOCCSKSARGEN,44638,Male,36,Single Family,4,22,10,1,1
150987,XII - SOCCSKSARGEN,48267,Female,50,Single Family,3,63,21,3,1
182376,XII - SOCCSKSARGEN,88120,Male,46,Single Family,7,22,1,2,1
106893,XII - SOCCSKSARGEN,32375,Male,25,Single Family,3,28,3,1,1
100535,XII - SOCCSKSARGEN,39920,Male,69,Single Family,3,30,39,2,1
110266,XII - SOCCSKSARGEN,69059,Male,52,Extended Family,6,29,24,3,1
145427,XII - SOCCSKSARGEN,54083,Male,59,Extended Family,5,33,21,2,1
178985,XII - SOCCSKSARGEN,63394,Male,43,Single Family,4,18,5,2,1
107977,XII - SOCCSKSARGEN,133183,Male,32,Single Family,6,10,4,1,1
99667,XII - SOCCSKSARGEN,81950,Male,34,Single Family,4,32,12,2,1
81951,XII - SOCCSKSARGEN,55256,Male,38,Single Family,5,80,28,2,1
89558,XII - SOCCSKSARGEN,109151,Male,50,Single Family,5,140,4,2,1
223800,XII - SOCCSKSARGEN,224326,Female,48,Extended Family,7,40,8,4,1
154520,XII - SOCCSKSARGEN,113015,Female,56,Single Family,6,40,2,1,1
62253,XII - SOCCSKSARGEN,38293,Male,63,Extended Family,4,27,20,2,0
76948,XII - SOCCSKSARGEN,30299,Female,65,Single Family,2,23,40,2,1
47200,XII - SOCCSKSARGEN,21851,Female,58,Single Family,1,80,23,3,1
137599,XII - SOCCSKSARGEN,69592,Male,27,Single Family,3,72,5,4,1
117158,XII - SOCCSKSARGEN,61539,Male,62,Single Family,3,29,5,1,0
31333,XII - SOCCSKSARGEN,16690,Male,53,Single Family,1,16,28,1,0
44686,XII - SOCCSKSARGEN,31789,Male,40,Single Family,5,15,10,1,0
66976,XII - SOCCSKSARGEN,49149,Male,52,Single Family,4,15,15,2,1
100191,XII - SOCCSKSARGEN,30603,Male,85,Single Family,5,30,63,2,1
87768,XII - SOCCSKSARGEN,51865,Male,39,Single Family,5,30,9,2,0
50970,XII - SOCCSKSARGEN,32222,Male,55,Single Family,4,32,15,2,1
60856,XII - SOCCSKSARGEN,42995,Male,35,Single Family,5,7,7,1,1
76079,XII - SOCCSKSARGEN,41312,Male,46,Single Family,4,103,11,3,1
99046,XII - SOCCSKSARGEN,94802,Female,57,Extended Family,8,28,23,2,1
333353,XII - SOCCSKSARGEN,110922,Male,52,Extended Family,10,11,25,2,1
167942,XII - SOCCSKSARGEN,110315,Female,59,Extended Family,5,34,65,3,1
78544,XII - SOCCSKSARGEN,82090,Female,43,Extended Family,6,14,3,1,1
298243,XII - SOCCSKSARGEN,98417,Male,48,Single Family,5,20,7,2,1
87140,XII - SOCCSKSARGEN,82318,Male,43,Single Family,8,63,4,3,1
66061,XII - SOCCSKSARGEN,48311,Female,48,Extended Family,3,11,7,1,1
87682,XII - SOCCSKSARGEN,68282,Male,43,Single Family,5,18,9,2,0
204660,XII - SOCCSKSARGEN,80719,Male,44,Extended Family,9,29,21,4,1
75270,XII - SOCCSKSARGEN,74043,Male,40,Single Family,5,13,21,1,1
100926,XII - SOCCSKSARGEN,80826,Male,40,Extended Family,6,58,25,2,1
180966,XII - SOCCSKSARGEN,112853,Male,46,Single Family,7,80,20,3,1
152434,XII - SOCCSKSARGEN,108702,Male,52,Single Family,5,48,20,2,1
91201,XII - SOCCSKSARGEN,164698,Male,36,Single Family,8,11,16,2,0
441368,XII - SOCCSKSARGEN,151799,Male,55,Extended Family,5,18,35,2,1
1909348,XII - SOCCSKSARGEN,197783,Female,48,Single Family,8,70,15,4,1
154556,XII - SOCCSKSARGEN,95087,Male,41,Single Family,3,20,10,1,1
880780,XII - SOCCSKSARGEN,438988,Male,67,Extended Family,19,162,19,6,1
1139783,XII - SOCCSKSARGEN,188785,Male,70,Extended Family,7,45,45,2,1
